,annotated,predicted,delta
GSM1496819,20.0,29.52129168552218,-9.52129168552218
GSM1467174,51.0,75.18442900598413,-24.18442900598413
GSM1499367,25.0,35.32755287907071,-10.327552879070709
GSM959812,70.73,72.41581093361037,-1.6858109336103695
GSM1003836,60.0,62.0949483427187,-2.094948342718702
GSM1282808,59.28268,50.524070464864316,8.758609535135683
GSM1865215,32.0,32.56033858456859,-0.5603385845685906
GSM1500873,50.0,50.679286837977834,-0.6792868379778341
GSM959712,63.0,68.61266254433099,-5.612662544330988
GSM1865199,24.0,30.89608452475987,-6.896084524759871
GSM1174857,24.0,27.762562905216747,-3.762562905216747
GSM1496815,36.0,43.0271174200082,-7.027117420008203
GSM959723,78.0,54.02190421335897,23.978095786641028
GSM1104659,20.0,17.342017661068617,2.657982338931383
GSM959493,71.0,69.03263773610553,1.967362263894472
GSM1174863,60.0,56.25442256159648,3.7455774384035223
GSM2089110,43.0,36.51496948181099,6.4850305181890135
GSM1174893,38.0,41.83396185744754,-3.833961857447541
GSM1438250,43.76286966,46.02425503458567,-2.2613853745856716
GSM2080047,37.0,46.19859869450578,-9.198598694505783
GSM959663,40.0,42.91735705027447,-2.917357050274468
GSM1500960,71.0,57.677739797137285,13.322260202862715
GSM1496816,21.0,29.504022629650123,-8.504022629650123
GSM959508,79.0,80.12384150090975,-1.123841500909748
GSM2044710,23.0,25.361523945409296,-2.3615239454092958
GSM1438266,54.51204819,55.10959688320451,-0.5975486932045087
GSM1174890,44.0,54.26201012763527,-10.262010127635271
GSM2334784,55.08,63.62801352838343,-8.548013528383429
GSM1024953,31.0,33.34685164646263,-2.346851646462632
GSM1500961,77.0,48.467846598739904,28.532153401260096
GSM2080169,74.0,68.7635245938749,5.236475406125095
GSM1024926,23.0,23.659924778817867,-0.6599247788178673
GSM959579,70.0,67.19091388058791,2.809086119412086
GSM959724,72.0,62.47980580703527,9.52019419296473
GSM959411,67.0,76.32583682752477,-9.325836827524768
GSM1865157,36.0,27.281126045997176,8.718873954002824
GSM2089068,41.0,37.877377222028265,3.122622777971735
GSM1500942,44.0,43.459698566477236,0.5403014335227638
GSM1496801,22.0,39.230357963662506,-17.230357963662506
GSM1174879,24.0,29.678183482179797,-5.678183482179797
GSM1104652,20.0,20.46578278210307,-0.46578278210306934
GSM1024931,23.0,43.8695771017783,-20.869577101778297
GSM1904243,50.0,52.63857399015523,-2.63857399015523
GSM1024935,47.0,42.604963845572875,4.395036154427125
GSM1299735,64.0,54.1910613403385,9.8089386596615
